country,alpha3,year,import,retail,consumption,population,gdp
Austria,AUT,1990,1879.7170038,4.9,1340.1239854,7677850.0,166463386179.354
Austria,AUT,1991,2058.2710046,4.57,1302.0859699,7754891.0,173794177961.108
Austria,AUT,1992,2206.416005,4.99,1212.3339637,7840709.0,195078126721.763
Austria,AUT,1993,1836.4890021,4.97,1335.0009818,7905633.0,190379720809.18
Austria,AUT,1994,1417.2140039,4.58,1086.2189956,7936118.0,203535242741.838
Austria,AUT,1995,1231.4360012,5.18,1011.7699957,7948278.0,241038283062.645
Austria,AUT,1996,1210.4660056,5.42,1075.7880005,7959017.0,237250948791.266
Austria,AUT,1997,1294.2034055,4.37,1087.0795972,7968041.0,212790348404.555
Austria,AUT,1998,1293.3541061,3.97,1104.738197,7976789.0,218259904401.956
Austria,AUT,1999,1499.7770114,3.28,1123.2972894,7992324.0,217259147049.954
Austria,AUT,2000,1257.2328923,3.05,874.7312789,8011566.0,197289625479.906
Austria,AUT,2001,1432.4135883,2.93,1012.6639738,8042293.0,197508773215.323
Austria,AUT,2002,1447.2073888,2.86,926.0268695,8081957.0,214394866675.24
Austria,AUT,2003,1336.0595881,3.18,719.572364,8121423.0,262273631180.054
Austria,AUT,2004,1538.1561912,3.33,995.8237748,8171966.0,301457562038.541
Austria,AUT,2005,1576.5789304,3.77,772.0661355,8227829.0,316092273276.015
Austria,AUT,2006,1600.652025,4.13,612.4706464,8268641.0,336280064332.411
Austria,AUT,2007,1968.1126993,4.27,846.8156569,8295487.0,389185571506.052
Austria,AUT,2008,1901.0666958,4.74,907.8868183,8321496.0,432051935642.945
Austria,AUT,2009,1309.234032,6.95,885.7158476,8343323.0,401758735822.211
Austria,AUT,2010,1369.2002988,6.69,902.8543286,8363404.0,392275107258.667
Austria,AUT,2011,1452.4929051,8.32,1117.3456428,8391643.0,431685217367.511
Austria,AUT,2012,1558.6093658,8.38,1269.0194578,8429991.0,409401816050.531
Austria,AUT,2013,1554.9269506,8.62,1249.0561033,8479823.0,430190979705.962
Austria,AUT,2014,1525.0810799,8.63,1134.7097223,8546356.0,442584815286.034
Austria,AUT,2015,1513.3902855,7.44,1135.8385496,8642699.0,381971148530.543
Austria,AUT,2016,1494.9385599,5.64,1193.2470822,8736668.0,395837353031.499
Austria,AUT,2017,1459.9115324,6.22,1161.6183913,8797566.0,417261151844.977
Austria,AUT,2018,1429.4068315,6.63,1171.9932827,8840521.0,454991174096.102
Austria,AUT,2019,1447.5136643,6.1660699999999995,1173.3516852,8879920.0,444621176100.548
Belgium,BEL,1990,,3.27,,9967379.0,205331747947.851
Belgium,BEL,1991,,2.92,,10004486.0,210510999409.333
Belgium,BEL,1992,,3.05,,10045158.0,234781652446.675
Belgium,BEL,1993,,2.78,,10084475.0,224721795708.955
Belgium,BEL,1994,,3.42,,10115603.0,244884129491.198
Belgium,BEL,1995,,4.88,,10136811.0,288025588396.278
Belgium,BEL,1996,,4.04,,10156637.0,279201433224.756
Belgium,BEL,1997,,3.98,,10181245.0,252708051420.839
Belgium,BEL,1998,,4.19,,10203008.0,258528339631.029
Belgium,BEL,1999,3003.0055122,3.55,834.4924752,10226419.0,258245733221.468
Belgium,BEL,2000,3490.6155829,3.22,1133.3605635,10251250.0,236792460312.471
Belgium,BEL,2001,3208.6271807,3.0,884.2332676,10286570.0,236746141604.37
Belgium,BEL,2002,3792.172778,3.05,1484.300964,10332785.0,258383599375.177
Belgium,BEL,2003,3817.6140246,3.6,1579.4185707,10376133.0,318082528506.588
Belgium,BEL,2004,3968.3045651,3.87,1396.2354379,10421137.0,369214712443.206
Belgium,BEL,2005,4063.2250758,4.1,1158.0377555,10478617.0,385714762230.039
Belgium,BEL,2006,4604.6839771,4.32,1537.4130848,10547958.0,408259840868.823
Belgium,BEL,2007,4013.653412,4.91,1103.1183459,10625700.0,470922156309.453
Belgium,BEL,2008,6792.086621,5.46,649.9305163,10709973.0,517328087920.078
Belgium,BEL,2009,5915.5005882,5.26,934.292881,10796493.0,483254171097.812
Belgium,BEL,2010,5923.7299927,5.18,870.6651789,10895586.0,481420882905.001
Belgium,BEL,2011,5828.442382,6.48,934.4687495,11038264.0,523330354138.133
Belgium,BEL,2012,5668.2318442,6.2,914.636559,11106932.0,496152879924.727
Belgium,BEL,2013,5502.1436397,6.24,1245.1647608,11159407.0,521791015247.06
Belgium,BEL,2014,5211.7492738,,1258.936808,11209057.0,535390200131.018
Belgium,BEL,2015,5533.5142058,,1073.6106709,11274196.0,462335574841.484
Belgium,BEL,2016,6052.1701635,,1502.1248037,11331422.0,476062757356.927
Belgium,BEL,2017,5677.3791389,,1300.0548747,11375158.0,502764720556.354
Belgium,BEL,2018,5742.2534044,,1364.9266567,11427054.0,543299066998.902
Belgium,BEL,2019,6198.896527,,1185.3763393,11488980.0,535830876745.097
Bulgaria,BGR,1990,268.1829982,,101.7829982,8718289.0,20632090909.0909
Bulgaria,BGR,1991,200.2200014,,16.7610014,8632367.0,10943548387.0968
Bulgaria,BGR,1992,182.2310123,,174.8780121,8540164.0,10350515463.9175
Bulgaria,BGR,1993,397.4430059,,326.9550058,8472313.0,10829710144.9275
Bulgaria,BGR,1994,462.6680067,,352.7640061,8443591.0,9697416974.16974
Bulgaria,BGR,1995,515.418008,,393.4080072,8406067.0,18983288690.4762
Bulgaria,BGR,1996,272.1599948,,246.4749948,8362826.0,12294204609.3311
Bulgaria,BGR,1997,294.1540027,,274.9180026,8312068.0,11315986087.1633
Bulgaria,BGR,1998,342.1220043,,324.1600044,8256786.0,15030696432.6289
Bulgaria,BGR,1999,366.9190043,,363.0424046,8210624.0,13627325461.1743
Bulgaria,BGR,2000,280.7270156,,275.0848163,8170172.0,13245834314.5104
Bulgaria,BGR,2001,354.9049957,,350.399596,8009142.0,14183497963.1071
Bulgaria,BGR,2002,343.4319971,2.15,340.5686971,7837161.0,16402846413.0958
Bulgaria,BGR,2003,400.3609976,2.68,397.3146976,7775327.0,21144982397.4144
Bulgaria,BGR,2004,366.8488919,2.93,364.1907962,7716860.0,26157892832.2011
Bulgaria,BGR,2005,440.5141695,2.92,430.0139857,7658972.0,29869284035.3218
Bulgaria,BGR,2006,434.5516861,2.9,420.3825188,7601022.0,34379808888.6039
Bulgaria,BGR,2007,393.3613084,3.48,364.1899682,7545338.0,44432811756.4731
Bulgaria,BGR,2008,517.2056848,4.05,444.7178889,7492561.0,54481376860.3695
Bulgaria,BGR,2009,522.9957876,3.84,409.2759028,7444443.0,52023505367.1714
Bulgaria,BGR,2010,528.3720815,3.62,395.3579912,7395599.0,50682061053.2016
Bulgaria,BGR,2011,481.5102089,4.16,359.5197507,7348328.0,57678241023.818
Bulgaria,BGR,2012,559.8250658,3.44,375.9412509,7305888.0,54300857424.4415
Bulgaria,BGR,2013,609.4866685,3.59,418.6068473,7265115.0,55810138436.4821
Bulgaria,BGR,2014,620.7089657,3.75,376.236244,7223938.0,57082011260.3446
Bulgaria,BGR,2015,681.7565892,3.45,406.257101,7177991.0,50781996712.7635
Bulgaria,BGR,2016,779.1600127,3.79,452.3459583,7127822.0,53953897624.4344
Bulgaria,BGR,2017,706.8825173,4.64,415.0117807,7075947.0,59199447421.4924
Bulgaria,BGR,2018,737.2439834,4.58,425.7194675,7025037.0,66363537115.2686
Bulgaria,BGR,2019,784.8967153,4.208544,423.0666504,6975761.0,68915875214.6537
Croatia,HRV,1990,,,,4777368.0,
Croatia,HRV,1991,,,,4689022.0,
Croatia,HRV,1992,168.1900054,,134.545004,4575818.0,
Croatia,HRV,1993,162.7740011,,131.8899998,4600463.0,
Croatia,HRV,1994,193.4500023,,163.8620011,4652024.0,
Croatia,HRV,1995,320.1320059,,288.4810046,4620030.0,22643720762.9666
Croatia,HRV,1996,321.8359979,,304.4689979,4557097.0,24004834103.591
Croatia,HRV,1997,385.2970035,,361.3960026,4534920.0,24029651136.9587
Croatia,HRV,1998,339.0510012,,319.7300002,4532135.0,25732125031.9808
Croatia,HRV,1999,352.0830048,,337.1680041,4512597.0,23628947414.5284
Croatia,HRV,2000,344.3819963,,327.1239955,4468302.0,21807856145.1037
Croatia,HRV,2001,352.088997,,336.7679964,4299642.0,23259567777.5327
Croatia,HRV,2002,370.9149955,,354.8629948,4302174.0,27085262278.8634
Croatia,HRV,2003,392.5739971,,375.4279963,4303399.0,35022903386.8064
Croatia,HRV,2004,388.3918396,,370.0095474,4304600.0,42013459301.7962
Croatia,HRV,2005,391.5995398,,373.7530593,4310145.0,45835098187.6637
Croatia,HRV,2006,404.1215639,,386.1328524,4311159.0,50915016294.105
Croatia,HRV,2007,413.7646766,,386.3344636,4310217.0,60641942979.2183
Croatia,HRV,2008,405.3261764,,377.1421853,4309705.0,70943300079.4666
Croatia,HRV,2009,394.0485164,,365.637529,4305181.0,63324394633.9008
Croatia,HRV,2010,393.825469,,369.8385933,4295427.0,60672093864.787
Croatia,HRV,2011,390.8739587,,367.1531434,4280622.0,63408294943.4855
