alpha3,year,production,country,export,price,population,gdp
AGO,1990,5000.0,Angola,84.35,85.6569,11828638.0,11228764963.2353
AGO,1991,5000.0,Angola,70.501,91.1153,12228691.0,10603784541.197
AGO,1992,5000.0,Angola,80.25,44.9183,12632507.0,8307810973.58848
AGO,1993,4620.0,Angola,38.878,11.8708,13038270.0,5768720421.61367
AGO,1994,2160.0,Angola,8.302,,13462031.0,4438321017.39068
AGO,1995,3300.0,Angola,40.559,,13912253.0,5538749259.94714
AGO,1996,2820.0,Angola,51.831,,14383350.0,7526446605.51712
AGO,1997,3840.0,Angola,50.494,,14871146.0,7648377412.83277
AGO,1998,5100.0,Angola,53.929,,15366864.0,6506229607.29432
AGO,1999,3300.0,Angola,50.114,,15870753.0,6152922942.98032
AGO,2000,4260.0,Angola,21.505,51.7415,16394062.0,9129594818.60749
AGO,2001,3300.0,Angola,14.25,18.6135,16941587.0,8936063723.20121
AGO,2002,1260.0,Angola,9.345,10.7112,17516139.0,15285594828.418
AGO,2003,2040.0,Angola,17.298,6.6089,18124342.0,17812704825.1957
AGO,2004,1980.0,Angola,5.67,9.923,18771125.0,23552047248.4301
AGO,2005,3500.0,Angola,4.665,10.4187,19450959.0,36970918699.2523
AGO,2006,5000.0,Angola,5.41,12.9824,20162340.0,52381006892.038
AGO,2007,11523.0,Angola,3.916,36.0524,20909684.0,65266452081.386
AGO,2008,4000.0,Angola,6.105,42.3165,21691522.0,88538610805.3214
AGO,2009,11982.0,Angola,6.925,40.1402,22507674.0,70307166934.3311
AGO,2010,9951.0,Angola,4.37,44.3889,23364185.0,81699526880.8079
AGO,2011,10192.0,Angola,7.575,48.2936,24259111.0,109436566876.419
AGO,2012,11740.0,Angola,8.375,52.2644,25188292.0,124998210652.243
AGO,2013,12550.0,Angola,5.52,34.50765,26147002.0,133401582620.494
AGO,2014,15009.0,Angola,9.375,50.3799,27128337.0,137244439121.374
AGO,2015,15000.0,Angola,10.515,41.99435,28127721.0,87219300384.5072
AGO,2016,14680.0,Angola,10.945,89.39439999999999,29154746.0,49840491178.1518
AGO,2017,14896.0,Angola,9.055,145.80605,30208628.0,68972769395.6274
AGO,2018,14859.0,Angola,9.3233967,110.47815,31273533.0,77792944471.9494
AGO,2019,14811.0,Angola,23.3571778,,32353588.0,69309110145.7687
BOL,1990,24378.0,Bolivia (Plurinational State of),156.442,51.7802,7096194.0,4867582597.52327
BOL,1991,14071.0,Bolivia (Plurinational State of),73.523,52.423,7244891.0,5343274395.35273
BOL,1992,15179.0,Bolivia (Plurinational State of),96.2040001,43.5276,7394419.0,5643893347.00679
BOL,1993,13153.0,Bolivia (Plurinational State of),47.319,27.3283,7544489.0,5734676631.26304
BOL,1994,19216.0,Bolivia (Plurinational State of),84.3210002,79.915,7693722.0,5981244865.27432
BOL,1995,20323.0,Bolivia (Plurinational State of),93.9580001,76.9867,7841471.0,6715220486.21961
BOL,1996,22015.0,Bolivia (Plurinational State of),123.4450001,57.1799,7989367.0,7396966618.05857
BOL,1997,22608.0,Bolivia (Plurinational State of),110.9550001,100.0689,8137619.0,7925673467.44571
BOL,1998,22532.0,Bolivia (Plurinational State of),97.0389999,131.0938,8286928.0,8497545543.63805
BOL,1999,26931.0,Bolivia (Plurinational State of),123.709,98.7076,8439052.0,8285075837.86388
BOL,2000,27696.0,Bolivia (Plurinational State of),106.347,78.0529,8592656.0,8397912525.26886
BOL,2001,24086.0,Bolivia (Plurinational State of),69.555,,8746084.0,8141537877.06791
BOL,2002,24513.0,Bolivia (Plurinational State of),79.148,,8900583.0,7905485146.44351
BOL,2003,24700.0,Bolivia (Plurinational State of),73.1590001,,9057378.0,8082364816.16879
BOL,2004,24546.0,Bolivia (Plurinational State of),93.278,,9216279.0,8773451751.5121
BOL,2005,24976.0,Bolivia (Plurinational State of),84.2137507,,9377388.0,9549077918.69677
BOL,2006,25272.0,Bolivia (Plurinational State of),92.5442368,,9542663.0,11451869202.1569
