Entity,Code,Year,production
Angola,AGO,1990,5000
Angola,AGO,1991,5000
Angola,AGO,1992,5000
Angola,AGO,1993,4620
Angola,AGO,1994,2160
Angola,AGO,1995,3300
Angola,AGO,1996,2820
Angola,AGO,1997,3840
Angola,AGO,1998,5100
Angola,AGO,1999,3300
Angola,AGO,2000,4260
Angola,AGO,2001,3300
Angola,AGO,2002,1260
Angola,AGO,2003,2040
Angola,AGO,2004,1980
Angola,AGO,2005,3500
Angola,AGO,2006,5000
Angola,AGO,2007,11523
Angola,AGO,2008,4000
Angola,AGO,2009,11982
Angola,AGO,2010,9951
Angola,AGO,2011,10192
Angola,AGO,2012,11740
Angola,AGO,2013,12550
Angola,AGO,2014,15009
Angola,AGO,2015,15000
Angola,AGO,2016,14680
Angola,AGO,2017,14896
Angola,AGO,2018,14859
Angola,AGO,2019,14811
Belize,BLZ,1998,93
Belize,BLZ,1999,70
Belize,BLZ,2000,165
Belize,BLZ,2001,229
Belize,BLZ,2002,227
Belize,BLZ,2003,229
Belize,BLZ,2004,231
Belize,BLZ,2005,54
Belize,BLZ,2006,95
Belize,BLZ,2007,45
Belize,BLZ,2008,90
Belize,BLZ,2009,105
Belize,BLZ,2010,90
Belize,BLZ,2011,91
Belize,BLZ,2012,89
Belize,BLZ,2013,87
Belize,BLZ,2014,88
Belize,BLZ,2015,91
Belize,BLZ,2016,89
Belize,BLZ,2017,88
Belize,BLZ,2018,89
Belize,BLZ,2019,87
Benin,BEN,1990,120
Benin,BEN,1991,180
Benin,BEN,1992,200
Benin,BEN,1993,300
Benin,BEN,1994,200
Benin,BEN,1995,175
Benin,BEN,1996,165
Benin,BEN,1997,161
Benin,BEN,1998,154
Benin,BEN,1999,151
Benin,BEN,2000,143
Benin,BEN,2001,150
Benin,BEN,2002,100
Benin,BEN,2003,60
Benin,BEN,2004,86
Benin,BEN,2005,82
Benin,BEN,2006,60
Benin,BEN,2007,60
Benin,BEN,2008,70
Benin,BEN,2009,67
Benin,BEN,2010,60
Benin,BEN,2011,65
Benin,BEN,2012,68
Benin,BEN,2013,70
Benin,BEN,2014,57
Benin,BEN,2015,49
Benin,BEN,2016,59
Benin,BEN,2017,55
Benin,BEN,2018,54
Benin,BEN,2019,56
Bolivia,BOL,1990,24378
Bolivia,BOL,1991,14071
Bolivia,BOL,1992,15179
Bolivia,BOL,1993,13153
Bolivia,BOL,1994,19216
Bolivia,BOL,1995,20323
Bolivia,BOL,1996,22015
Bolivia,BOL,1997,22608
Bolivia,BOL,1998,22532
Bolivia,BOL,1999,26931
Bolivia,BOL,2000,27696
Bolivia,BOL,2001,24086
Bolivia,BOL,2002,24513
Bolivia,BOL,2003,24700
Bolivia,BOL,2004,24546
Bolivia,BOL,2005,24976
Bolivia,BOL,2006,25272
Bolivia,BOL,2007,27012
Bolivia,BOL,2008,27305
Bolivia,BOL,2009,28270
Bolivia,BOL,2010,27327
Bolivia,BOL,2011,27596
Bolivia,BOL,2012,28137
Bolivia,BOL,2013,29455
Bolivia,BOL,2014,20496
Bolivia,BOL,2015,20954
Bolivia,BOL,2016,21427
Bolivia,BOL,2017,21181
Bolivia,BOL,2018,22121
Bolivia,BOL,2019,24841
Brazil,BRA,1990,1464856
Brazil,BRA,1991,1520382
Brazil,BRA,1992,1294373
Brazil,BRA,1993,1278759
Brazil,BRA,1994,1307289
Brazil,BRA,1995,930135
Brazil,BRA,1996,1369196
Brazil,BRA,1997,1228513
Brazil,BRA,1998,1689366
Brazil,BRA,1999,1631852
Brazil,BRA,2000,1903562
Brazil,BRA,2001,1819569
Brazil,BRA,2002,2610524
