"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CPNCU","Current prices in NCU","2010","2010","AUD","Australian Dollar","0","Units",,,69110.2746031737,,
"AUS","Australia","CPNCU","Current prices in NCU","2011","2011","AUD","Australian Dollar","0","Units",,,72978.5991874853,,
"AUS","Australia","CPNCU","Current prices in NCU","2012","2012","AUD","Australian Dollar","0","Units",,,75149.2632468591,,
"AUS","Australia","CPNCU","Current prices in NCU","2013","2013","AUD","Australian Dollar","0","Units",,,76598.3394072311,,
"AUS","Australia","CPNCU","Current prices in NCU","2014","2014","AUD","Australian Dollar","0","Units",,,78666.760266353,,
"AUS","Australia","CPNCU","Current prices in NCU","2015","2015","AUD","Australian Dollar","0","Units",,,79206.7993312876,,
"AUS","Australia","CPNCU","Current prices in NCU","2016","2016","AUD","Australian Dollar","0","Units",,,80054.6207296823,,
"AUS","Australia","CPNCU","Current prices in NCU","2017","2017","AUD","Australian Dollar","0","Units",,,80675.4970078862,,
"AUS","Australia","CPNCU","Current prices in NCU","2018","2018","AUD","Australian Dollar","0","Units",,,82187.7007110623,,
"AUS","Australia","CPNCU","Current prices in NCU","2019","2019","AUD","Australian Dollar","0","Units",,,84538.9408001655,,
"AUS","Australia","CPNCU","Current prices in NCU","2020","2020","AUD","Australian Dollar","0","Units",,,87379.0260559097,,
"AUT","Austria","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,36388.4767303661,,
"AUT","Austria","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,37130.1635601381,,
"AUT","Austria","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,38218.3939419199,,
"AUT","Austria","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,39040.1230004397,,
"AUT","Austria","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,39975.8128533297,,
"AUT","Austria","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,40851.0000056255,,
"AUT","Austria","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,41839.0077051306,,
"AUT","Austria","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,42564.1082150145,,
"AUT","Austria","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,43575.6416749341,,
"AUT","Austria","CPNCU","Current prices in NCU","2019","2019","EUR","Euro","0","Units",,,44675.8340054809,,
"AUT","Austria","CPNCU","Current prices in NCU","2020","2020","EUR","Euro","0","Units",,,45354.2956646426,,
"BEL","Belgium","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,39208.304777495,,
"BEL","Belgium","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,40739.8634497882,,
"BEL","Belgium","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,41897.4877463494,,
"BEL","Belgium","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,42762.725168663,,
"BEL","Belgium","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,43322.696959492,,
"BEL","Belgium","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,43398.2213769181,,
"BEL","Belgium","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,44153.3780290221,,
"BEL","Belgium","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,44684.3918828603,,
"BEL","Belgium","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,45827.2799186211,,
"BEL","Belgium","CPNCU","Current prices in NCU","2019","2019","EUR","Euro","0","Units",,,46904.4513270427,,
"BEL","Belgium","CPNCU","Current prices in NCU","2020","2020","EUR","Euro","0","Units",,,45937.5088303029,,
"CAN","Canada","CPNCU","Current prices in NCU","2010","2010","CAD","Canadian Dollar","0","Units",,,57014.5457578838,,
"CAN","Canada","CPNCU","Current prices in NCU","2011","2011","CAD","Canadian Dollar","0","Units",,,58785.791577937,,
"CAN","Canada","CPNCU","Current prices in NCU","2012","2012","CAD","Canadian Dollar","0","Units",,,60461.4791505991,,
"CAN","Canada","CPNCU","Current prices in NCU","2013","2013","CAD","Canadian Dollar","0","Units",,,62025.7324128047,,
"CAN","Canada","CPNCU","Current prices in NCU","2014","2014","CAD","Canadian Dollar","0","Units",,,63996.2218942261,,
"CAN","Canada","CPNCU","Current prices in NCU","2015","2015","CAD","Canadian Dollar","0","Units",,,65161.1352918542,,
"CAN","Canada","CPNCU","Current prices in NCU","2016","2016","CAD","Canadian Dollar","0","Units",,,64526.0366442293,,
