"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","AUS","Australia","2010","2010",83705,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","AUS","Australia","2011","2011",89235,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","AUS","Australia","2012","2012",89971,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","AUS","Australia","2013","2013",91232,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","AUS","Australia","2014","2014",93042,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","AUS","Australia","2015","2015",94991,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","AUS","Australia","2016","2016",96928,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","AUS","Australia","2017","2017",101081,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","AUS","Australia","2018","2018",105685,"D","Difference in methodology"
"RVNURINF","Remuneration of hospital nurses","YSALARMT","Salaried, annual income, NCU","AUS","Australia","2019","2019",111584,"D","Difference in methodology"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2010","2010",99616.17,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2011","2011",103562.69,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2012","2012",106913.36,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2013","2013",115916.44,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2014","2014",118602.69,"E","Estimated value"
"RVNURMED","Remuneration of specialists","YSALARMT","Salaried, annual income, NCU","BEL","Belgium","2015","2015",115261.68,"E","Estimated value"
